t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
0.002500,MAG,-0.10213129,0.45906821,0.45112455,0.00000000,0.00000000,0.00000000,0.202914,3,1
0.002500,BARO,63.45360876,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,40.163172,1,0
0.020000,MAG,0.67689584,-0.04569501,0.20966532,0.00000000,0.00000000,0.00000000,0.586837,3,1
0.020000,BARO,63.33605993,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,40.012932,1,0
0.040000,MAG,3.46000557,-0.61030492,0.50668419,0.00000000,0.00000000,0.00000000,15.283291,3,0
0.040000,BARO,64.18628318,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,41.089491,1,0
0.060000,MAG,0.70112336,1.04828072,1.64448191,0.00000000,0.00000000,0.00000000,6.175744,3,1
0.060000,BARO,62.33375810,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38.744165,1,0
0.080000,MAG,2.10198773,-0.58717066,1.02492710,0.00000000,0.00000000,0.00000000,8.116265,3,1
0.080000,BARO,64.10171993,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,40.961684,1,0
0.100000,MAG,0.78764841,-0.24827604,1.36546825,0.00000000,0.00000000,0.00000000,3.948326,3,1
0.100000,BARO,63.15345242,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,39.744478,1,0
0.120000,MAG,1.52639429,0.62632504,0.35671466,0.00000000,0.00000000,0.00000000,3.990120,3,1
0.120000,BARO,62.31163077,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38.675011,1,0
0.140000,MAG,0.74060412,0.48241704,0.15040083,0.00000000,0.00000000,0.00000000,1.126635,3,1
0.140000,BARO,63.99208562,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,40.768039,1,0
0.160000,MAG,0.55992725,0.24405574,1.25402915,0.00000000,0.00000000,0.00000000,3.026980,3,1
0.160000,BARO,62.18111240,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38.470240,1,0
0.180000,MAG,0.83536411,0.84466888,1.36654058,0.00000000,0.00000000,0.00000000,4.992430,3,1
0.180000,BARO,62.41558685,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38.734706,1,0
0.200000,MAG,1.30018866,0.30903453,0.53849182,0.00000000,0.00000000,0.00000000,3.096496,3,1
0.200000,BARO,63.44240732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,39.989442,1,0
0.202500,GPS,0.81470000,-0.99830000,-62.87040000,0.02750200,0.03280300,0.13071400,38.675213,6,1
0.220000,MAG,0.16614228,0.27986347,1.96876348,0.00000000,0.00000000,0.00000000,5.173135,3,1
0.220000,BARO,1.52946388,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.954173,1,1
0.240000,MAG,1.86328392,-0.90402547,0.92368681,0.00000000,0.00000000,0.00000000,6.143946,3,1
