t,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,gps_t,gps_px,gps_py,gps_pz,gps_vx,gps_vy,gps_vz,gps_valid,baro_alt,baro_valid
0.002500,0.010420,0.033045,0.067430,2.171245,0.365937,-8.551217,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,63.4544,1
0.005000,-0.015485,-0.123439,-0.109026,-0.268916,-1.005780,-8.192894,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.007500,-0.062557,-0.032171,-0.033869,1.679888,-0.699876,-8.995255,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.010000,-0.004348,-0.164594,-0.140411,1.759480,-0.278034,-10.755291,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.012500,-0.016933,-0.090873,-0.029599,-0.284044,1.393874,-11.775605,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.015000,0.005804,0.164290,-0.019627,0.572802,-1.140291,-9.443379,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.017500,-0.089049,-0.034867,-0.133358,3.355489,-2.458623,-11.188145,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.020000,-0.095339,-0.209093,0.031067,4.422091,5.746706,-9.079613,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.7585,1
0.022500,0.180402,0.017138,0.102580,-2.920698,-1.053674,-10.016256,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.025000,0.042099,-0.011565,0.000221,2.105465,-1.886380,-8.045750,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.027500,0.032180,0.134703,0.026230,3.586363,0.239138,-10.146130,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.030000,-0.014359,-0.034205,0.150441,-2.307754,3.221056,-6.461828,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
